word,asterisks,level
beard,0,none
beast,0,none
beat,2,star2_mid_high_common
beauty,1,star1_elementary
because,1,star1_elementary
become,1,star1_elementary
bed,1,star1_elementary
bee,1,star1_elementary
beef,1,star1_elementary
beer,2,star2_mid_high_common
before,1,star1_elementary
beg,2,star2_mid_high_common
begin,1,star1_elementary
behalf,0,none
behave,0,none
behind,1,star1_elementary
belief,2,star2_mid_high_common
believe,1,star1_elementary
bell,1,star1_elementary
belong,2,star2_mid_high_common
below,1,star1_elementary
belt,1,star1_elementary
bench,2,star2_mid_high_common
bend,2,star2_mid_high_common
beneath,2,star2_mid_high_common
benefit,2,star2_mid_high_common
beside,1,star1_elementary
bet,2,star2_mid_high_common
betray,0,none
between,1,star1_elementary
beyond,2,star2_mid_high_common
bias,0,none
big,1,star1_elementary
bike,1,star1_elementary
bill,1,star1_elementary
billion,2,star2_mid_high_common
bin,2,star2_mid_high_common
bind,2,star2_mid_high_common
biography,0,none
biology,0,none
bird,1,star1_elementary
birth,1,star1_elementary
biscuit,1,star1_elementary
bit,2,star2_mid_high_common
bite,2,star2_mid_high_common
bitter,2,star2_mid_high_common
black,1,star1_elementary
blame,2,star2_mid_high_common
blank,2,star2_mid_high_common
blanket,2,star2_mid_high_common
blast,0,none
blend,0,none
bless,2,star2_mid_high_common
blind,2,star2_mid_high_common
blink,0,none
block,2,star2_mid_high_common
blonde,2,star2_mid_high_common
blood,1,star1_elementary
bloom,2,star2_mid_high_common
blossom,0,none
blow,2,star2_mid_high_common
blue,1,star1_elementary
board,1,star1_elementary
boat,1,star1_elementary
body,1,star1_elementary
boil,2,star2_mid_high_common
bold,0,none
bomb,2,star2_mid_high_common
bond,2,star2_mid_high_common
bone,1,star1_elementary
book,1,star1_elementary
boom,2,star2_mid_high_common
boost,0,none
boot,2,star2_mid_high_common
border,0,none
bore,2,star2_mid_high_common
borrow,1,star1_elementary
boss,2,star2_mid_high_common
both,1,star1_elementary
bother,2,star2_mid_high_common
bottle,1,star1_elementary
bottom,1,star1_elementary
bounce,2,star2_mid_high_common
boundary,0,none
bow,2,star2_mid_high_common
bowl,2,star2_mid_high_common
box,1,star1_elementary
boy,1,star1_elementary
brain,2,star2_mid_high_common
brake,2,star2_mid_high_common
branch,2,star2_mid_high_common
brand,2,star2_mid_high_common
brave,1,star1_elementary
bread,1,star1_elementary
break,1,star1_elementary
breakfast,1,star1_elementary
breast,2,star2_mid_high_common
breath,2,star2_mid_high_common
breathe,2,star2_mid_high_common
breed,0,none
breeze,0,none
brick,2,star2_mid_high_common
bridge,1,star1_elementary
brief,2,star2_mid_high_common
bright,1,star1_elementary
brilliant,2,star2_mid_high_common
bring,1,star1_elementary
broad,2,star2_mid_high_common
broadcast,0,none
brother,1,star1_elementary
brown,1,star1_elementary
brush,1,star1_elementary
brute,0,none
bubble,2,star2_mid_high_common
budget,2,star2_mid_high_common
bug,2,star2_mid_high_common
build,1,star1_elementary
bulk,0,none
bull,0,none
bully,0,none
bump,2,star2_mid_high_common
bunch,2,star2_mid_high_common
bundle,0,none
burden,0,none
burn,1,star1_elementary
burst,2,star2_mid_high_common
bury,2,star2_mid_high_common
bus,1,star1_elementary
bush,2,star2_mid_high_common
business,1,star1_elementary
busy,1,star1_elementary
but,1,star1_elementary
butcher,0,none
butter,1,star1_elementary
button,1,star1_elementary
buy,1,star1_elementary
buzz,0,none
by,1,star1_elementary
cable,2,star2_mid_high_common
cage,2,star2_mid_high_common
cake,1,star1_elementary
calculate,2,star2_mid_high_common
calendar,2,star2_mid_high_common
call,1,star1_elementary
calm,2,star2_mid_high_common
camera,1,star1_elementary
camp,1,star1_elementary
campaign,1,star1_elementary
can,1,star1_elementary
cancel,0,none
cancer,0,none
candidate,0,none
candy,1,star1_elementary
canvas,0,none
cap,1,star1_elementary
capable,2,star2_mid_high_common
cape,2,star2_mid_high_common
capital,2,star2_mid_high_common
captain,2,star2_mid_high_common
capture,0,none
car,1,star1_elementary
card,1,star1_elementary
care,1,star1_elementary
career,2,star2_mid_high_common
carpet,2,star2_mid_high_common
carrot,1,star1_elementary
carry,1,star1_elementary
cart,2,star2_mid_high_common
carve,0,none
case,1,star1_elementary
cash,1,star1_elementary
cast,2,star2_mid_high_common
castle,2,star2_mid_high_common
cat,1,star1_elementary
catalogue,2,star2_mid_high_common
catalog,2,star2_mid_high_common
catch,1,star1_elementary
category,2,star2_mid_high_common
cater,0,none
cattle,0,none
cause,2,star2_mid_high_common
caution,0,none
cave,0,none
cease,0,none
ceiling,2,star2_mid_high_common
celebrate,0,none
celebrity,0,none
cell,2,star2_mid_high_common
censor,0,none
center,1,star1_elementary
century,2,star2_mid_high_common
certain,1,star1_elementary
certificate,0,none
chain,2,star2_mid_high_common
chair,1,star1_elementary
chairman,2,star2_mid_high_common
challenge,2,star2_mid_high_common
chamber,0,none
champion,2,star2_mid_high_common
chance,1,star1_elementary
change,1,star1_elementary
channel,2,star2_mid_high_common
chaos,0,none
character,2,star2_mid_high_common
characteristic,2,star2_mid_high_common
charge,2,star2_mid_high_common
charity,0,none
charm,2,star2_mid_high_common
chart,2,star2_mid_high_common
chase,2,star2_mid_high_common
chat,2,star2_mid_high_common
cheap,1,star1_elementary
check,1,star1_elementary
cheque,1,star1_elementary
cheek,2,star2_mid_high_common
cheer,2,star2_mid_high_common
cheese,1,star1_elementary
chef,0,none
chemical,0,none
chest,2,star2_mid_high_common
chew,2,star2_mid_high_common
chicken,1,star1_elementary
chief,2,star2_mid_high_common
child,1,star1_elementary
chill,0,none
chin,0,none
chip,2,star2_mid_high_common
